scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic
Oriolus xanthornus,Black-hooded Oriole,Passeriformes,Oriolidae,,no,,,no
Orthotomus sutorius,Common Tailorbird,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no
Ortygornis pondicerianus,Gray Francolin,Galliformes,Phasianidae,,no,Schedule-II,Low,no
Otus bakkamoena,Indian Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no
Otus brucei,Pallid Scops-Owl,Strigiformes,Strigidae,,no,,,no
Otus lettia,Collared Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no
Otus scops,Eurasian Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no
Otus spilocephalus,Mountain Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no
Oxyura leucocephala,White-headed Duck,Anseriformes,Anatidae,Endangered,no,Schedule-I,,no
Pachyglossa agilis,Thick-billed Flowerpecker,Passeriformes,Dicaeidae,,no,Schedule-II,High,no
Pandion haliaetus,Osprey,Accipitriformes,Pandionidae,,no,Schedule-I,High,no
Passer hispaniolensis,Spanish Sparrow,Passeriformes,Passeridae,,no,Schedule-II,,no
